,date,steps,distance,runDistance,calories
404,2017-06-05,4924,3467,2763,172
405,2017-06-06,4068,2811,223,100
406,2017-06-07,998,645,68,25
407,2017-06-08,4293,2974,253,105
408,2017-06-09,30190,22446,1763,753
409,2017-06-10,8955,6188,419,201
410,2017-06-11,834,539,0,25
411,2017-06-12,6529,4809,252,160
412,2017-06-13,5450,4074,175,687
413,2017-06-14,27581,19889,2122,1171
414,2017-06-15,11322,7868,781,280
415,2017-06-16,28063,20747,584,1197
416,2017-06-17,6645,4946,261,171
417,2017-06-18,22921,16588,136,562
418,2017-06-19,5017,3377,326,117
419,2017-06-20,3208,2201,292,70
420,2017-06-21,8186,5592,875,195
421,2017-06-22,8037,6468,4951,424
422,2017-06-23,4487,3152,337,114
423,2017-06-24,7845,7035,5589,396
424,2017-06-25,10391,7151,628,236
425,2017-06-26,1170,824,87,35
426,2017-06-27,8114,5498,533,194
427,2017-06-28,1762,1222,98,44
428,2017-06-29,9717,6687,735,229
429,2017-06-30,2531,1642,317,58
430,2017-07-01,9130,6216,590,212
431,2017-07-02,2743,1886,168,68
432,2017-07-03,6939,5376,144,183
433,2017-07-04,777,502,170,24
434,2017-07-05,2405,1704,190,62
435,2017-07-06,2495,1762,206,68
436,2017-07-07,1027,664,134,27
437,2017-07-08,655,423,44,18
438,2017-07-09,5592,4321,120,146
439,2017-07-10,10353,7370,1117,262
440,2017-07-11,22070,15257,508,940
441,2017-07-12,4193,3053,115,108
442,2017-07-13,1514,1048,168,53
443,2017-07-14,10444,7286,5657,869
444,2017-07-15,9188,6431,5024,631
445,2017-07-16,20437,14434,1647,482
446,2017-07-17,3141,2131,217,73
447,2017-07-18,4448,3407,151,130
448,2017-07-19,6532,4779,201,159
449,2017-07-20,9415,6390,556,213
450,2017-07-21,828,535,0,26
451,2017-07-22,8984,6618,508,238
452,2017-07-23,3417,2403,117,76
453,2017-07-24,2403,1692,26,69
454,2017-07-25,9415,6506,769,218
455,2017-07-26,11304,8657,296,474
456,2017-07-27,2213,1528,134,54
457,2017-07-28,25094,18562,1417,649
458,2017-07-29,11204,8169,974,288
459,2017-07-30,793,513,156,26
460,2017-07-31,19683,13857,226,852
461,2017-08-01,9157,6332,478,214
462,2017-08-02,5890,3999,3330,240
463,2017-08-03,13774,10650,173,374
464,2017-08-04,15915,11255,392,362
465,2017-08-05,9927,6794,519,236
466,2017-08-06,21456,15527,314,534
467,2017-08-07,5748,4180,486,162
468,2017-08-08,3882,2601,367,90
469,2017-08-09,11995,8053,391,270
470,2017-08-10,5397,4151,151,140
471,2017-08-11,10691,7613,753,261
472,2017-08-12,2458,1757,160,56
473,2017-08-13,4081,2664,310,100
474,2017-08-14,23292,16859,476,542
475,2017-08-15,11619,8564,79,293
476,2017-08-16,8192,5334,532,180
477,2017-08-17,992,661,139,34
478,2017-08-18,15255,10720,333,749
479,2017-08-19,2764,1787,1534,134
480,2017-08-20,3063,2108,223,71
481,2017-08-21,8387,5647,626,192
482,2017-08-22,1706,1189,224,58
483,2017-08-23,457,295,81,15
484,2017-08-24,2884,2162,99,83
485,2017-08-25,4107,3016,74,104
486,2017-08-26,2617,1694,1393,114
487,2017-08-27,5739,4094,587,146
488,2017-08-28,2320,1672,232,63
489,2017-08-29,16859,11675,698,698
490,2017-08-30,19111,13907,2577,472
491,2017-08-31,8734,5786,500,198
492,2017-09-01,15949,11963,309,399
493,2017-09-02,8980,6496,427,234
494,2017-09-03,2462,1702,1382,103
495,2017-09-04,12161,7894,278,613
496,2017-09-05,15661,11659,2724,450
497,2017-09-06,8162,6254,207,257
498,2017-09-07,4720,3278,2632,184
499,2017-09-08,23681,16541,374,515
500,2017-09-09,7088,4689,554,160
501,2017-09-10,3475,2504,195,88
502,2017-09-11,2936,2084,154,77
503,2017-09-12,16798,11981,452,393
504,2017-09-13,9188,6839,0,381
505,2017-09-14,1917,1303,72,44
506,2017-09-15,10339,7251,5769,337
507,2017-09-16,7711,5814,160,197
508,2017-09-17,6986,4605,425,156
509,2017-09-18,10688,7634,2125,261
510,2017-09-19,469,303,26,14
511,2017-09-20,1154,746,108,25
512,2017-09-21,3209,2242,147,76
513,2017-09-22,3575,2313,0,239
514,2017-09-23,1407,977,130,36
515,2017-09-24,9257,6637,1304,244
516,2017-09-25,9091,6253,460,209
517,2017-09-26,8004,5495,110,412
518,2017-09-27,4843,3377,352,137
519,2017-09-28,13621,9828,686,340
520,2017-09-29,3718,2446,193,88
521,2017-09-30,2615,1695,1408,120
522,2017-10-01,1528,1051,123,48
523,2017-10-02,2498,1766,183,73
524,2017-10-03,271,175,39,6
525,2017-10-04,11053,9312,7128,768
526,2017-10-05,4352,3278,41,231
527,2017-10-06,10028,7800,2042,311
528,2017-10-07,13909,9262,358,291
529,2017-10-08,10908,7499,628,249
530,2017-10-09,4934,3602,174,127
531,2017-10-10,4936,3717,31,125
532,2017-10-11,4600,3111,357,110
533,2017-10-12,2383,1670,133,69
534,2017-10-13,13355,10561,141,728
535,2017-10-14,17319,12215,355,817
536,2017-10-15,1144,739,79,28
537,2017-10-16,3188,2157,226,83
538,2017-10-17,171,111,0,4
539,2017-10-18,8013,5840,153,204
540,2017-10-19,24347,17648,846,612
541,2017-10-20,3628,2565,356,95
542,2017-10-21,7964,5736,209,345
543,2017-10-22,5417,3696,287,119
